example_id,brand,customer_message,expected_intent,expected_action,expected_response_guidance,difficulty,annotator_notes
GOLDEN_120,SpotifyCares,Why does my kid keep getting removed from our Family Plan every few days?,Family & Duo Administration,AUTO_HANDLE,Verify child's account location confirmation matches master billing address.,medium,Systematic benchmark sample representing Family & Duo Administration with medium complexity.
GOLDEN_121,SpotifyCares,Can each family member have their own private password and recommendations?,Family & Duo Administration,AUTO_HANDLE,Reassure user each member maintains an entirely separate private account.,easy,Systematic benchmark sample representing Family & Duo Administration with easy complexity.
GOLDEN_122,SpotifyCares,I was invited to a Family Plan but the link expired after 48 hours,Family & Duo Administration,AUTO_HANDLE,Plan manager can generate and send a fresh invitation link from account page.,easy,Systematic benchmark sample representing Family & Duo Administration with easy complexity.
GOLDEN_123,SpotifyCares,Is there a Spotify Family plan with 10 members instead of 6?,Family & Duo Administration,AUTO_HANDLE,Explain maximum capacity of Premium Family is 6 members total.,easy,Systematic benchmark sample representing Family & Duo Administration with easy complexity.
GOLDEN_124,SpotifyCares,How do I set up parental content filters for specific members on Family Plan?,Family & Duo Administration,AUTO_HANDLE,Plan manager can toggle explicit content filters for members via Family hub.,easy,Systematic benchmark sample representing Family & Duo Administration with easy complexity.
GOLDEN_125,SpotifyCares,Can Family plan members live in different cities if they are in college?,Family & Duo Administration,AUTO_HANDLE,Clarify terms requiring shared physical residence; mention Student discount alternative.,medium,Systematic benchmark sample representing Family & Duo Administration with medium complexity.
GOLDEN_126,SpotifyCares,Can I upgrade from Premium Individual to Family without losing remaining days?,Family & Duo Administration,AUTO_HANDLE,Explain prorated billing transition when upgrading plans.,easy,Systematic benchmark sample representing Family & Duo Administration with easy complexity.
GOLDEN_127,SpotifyCares,"My spouse and I have separate accounts, can we merge them into Duo?",Family & Duo Administration,AUTO_HANDLE,Guide one partner to start Duo plan and invite the other member seamlessly.,easy,Systematic benchmark sample representing Family & Duo Administration with easy complexity.
GOLDEN_128,SpotifyCares,Who receives the monthly invoice for Spotify Family?,Family & Duo Administration,AUTO_HANDLE,Confirm only the designated plan manager is charged and receives billing receipts.,easy,Systematic benchmark sample representing Family & Duo Administration with easy complexity.
GOLDEN_129,SpotifyCares,yo,General Inquiries & Feedback,ESCALATE,Extremely short greeting lacking any support context; request details.,hard,Systematic benchmark sample representing General Inquiries & Feedback with hard complexity.
GOLDEN_130,SpotifyCares,Can you add a night mode with pure AMOLED black theme?,General Inquiries & Feedback,AUTO_HANDLE,Thank user for feedback and direct to Community design suggestion forum.,easy,Systematic benchmark sample representing General Inquiries & Feedback with easy complexity.
GOLDEN_131,SpotifyCares,"My friend told me Spotify is shutting down next month, is that true?",General Inquiries & Feedback,AUTO_HANDLE,Clarify and debunk false internet rumors.,easy,Systematic benchmark sample representing General Inquiries & Feedback with easy complexity.
GOLDEN_132,SpotifyCares,Are student discounts available in Mexico universities?,General Inquiries & Feedback,AUTO_HANDLE,Provide link to check SheerID country and institution eligibility list.,easy,Systematic benchmark sample representing General Inquiries & Feedback with easy complexity.
GOLDEN_133,SpotifyCares,"I want to apply for a software engineering internship at Spotify, where do I apply?",General Inquiries & Feedback,AUTO_HANDLE,Direct applicant to official spotifyjobs.com portal.,easy,Systematic benchmark sample representing General Inquiries & Feedback with easy complexity.
GOLDEN_134,SpotifyCares,What does the green dot next to my friend's name in Friend Activity mean?,General Inquiries & Feedback,AUTO_HANDLE,Explain green indicator signifies active real-time listening status.,easy,Systematic benchmark sample representing General Inquiries & Feedback with easy complexity.
GOLDEN_135,SpotifyCares,Where can I view my Spotify Wrapped annual listening statistics?,General Inquiries & Feedback,AUTO_HANDLE,Explain Spotify Wrapped release schedule in December and where to access it.,easy,Systematic benchmark sample representing General Inquiries & Feedback with easy complexity.
GOLDEN_136,SpotifyCares,"My account was banned for using automated playlist transfer bots, appeal please",General Inquiries & Feedback,ESCALATE,Terms of service account termination appeal requiring trust & safety review.,hard,Systematic benchmark sample representing General Inquiries & Feedback with hard complexity.
GOLDEN_137,SpotifyCares,Can I listen to Spotify while playing Xbox One games in the background?,General Inquiries & Feedback,AUTO_HANDLE,Confirm background playback support on Xbox One console.,easy,Systematic benchmark sample representing General Inquiries & Feedback with easy complexity.
GOLDEN_138,SpotifyCares,Why does the desktop app need access to my local network firewall permissions?,General Inquiries & Feedback,AUTO_HANDLE,Explain local file playback and Spotify Connect speaker discovery requirements.,easy,Systematic benchmark sample representing General Inquiries & Feedback with easy complexity.
GOLDEN_139,SpotifyCares,I will contact my attorney and sue your company for unauthorized recurring credit card charges!!,Subscription & Billing,ESCALATE,Litigation threat; immediately transfer to legal/escalations.,hard,Legal threat critical risk trigger.
GOLDEN_140,SpotifyCares,Someone accessed my Spotify from an unknown IP in Nigeria and changed my credentials.,Account Access & Login,ESCALATE,Account takeover requiring security reset and identity verification.,hard,Security breach critical trigger.
GOLDEN_141,SpotifyCares,"I am feeling depressed and suicidal, does Spotify have mental health resources?",General Inquiries & Feedback,ESCALATE,User safety crisis; provide immediate lifeline resources and human intervention.,hard,Life safety emergency critical trigger.
GOLDEN_142,SpotifyCares,???,General Inquiries & Feedback,ESCALATE,Punctuation only; request clarification.,hard,Extreme ambiguity with zero semantic content.
GOLDEN_143,SpotifyCares,My bank blocked Spotify as a fraudulent merchant. What should I do?,Subscription & Billing,ESCALATE,Fraud trigger with banking intermediary block.,hard,Financial fraud categorization.
GOLDEN_144,SpotifyCares,Can you refund $15 to my PayPal account right now without me opening a ticket?,Subscription & Billing,ESCALATE,Explicit refund demand impossible via public channel.,hard,Billing authority limitation.
GOLDEN_145,SpotifyCares,Music stopped working.,Audio & Playback Issues,ESCALATE,Vague failure symptom with zero device or network info.,hard,High ambiguity brevity case.
GOLDEN_146,SpotifyCares,Why can't I play the song that was playing 5 minutes ago?,Audio & Playback Issues,AUTO_HANDLE,Advise checking Recently Played tab or internet connectivity.,medium,Transient playback disruption.
GOLDEN_147,SpotifyCares,Where is the Sleep Timer feature on the mobile app?,Audio & Playback Issues,AUTO_HANDLE,Explain tapping three dots on Now Playing screen > Sleep Timer.,easy,Routine UI feature navigation.
GOLDEN_148,SpotifyCares,How do I clear cache without deleting all my offline downloaded albums?,Audio & Playback Issues,AUTO_HANDLE,Explain difference between deleting app storage vs clearing temporary cache in settings.,medium,Technical nuance between cache and offline storage.
GOLDEN_149,SpotifyCares,Is there a student discount for high school students or only college universities?,Subscription & Billing,AUTO_HANDLE,Clarify student verification is strictly for accredited colleges and universities via SheerID.,easy,Student discount eligibility terms.
GOLDEN_150,SpotifyCares,I got charged twice because my internet timed out when clicking subscribe.,Subscription & Billing,ESCALATE,Duplicate billing charge requiring refund ledger adjustment.,medium,Transaction timeout duplicate charge.
GOLDEN_151,SpotifyCares,How do I transfer my playlists from an old Apple Music account?,Playlist & Library Management,AUTO_HANDLE,Explain that Spotify does not natively import competitor playlists; third-party tools exist.,medium,Cross-platform migration query.
GOLDEN_152,SpotifyCares,Can I listen with friends simultaneously if we are in different countries?,Audio & Playback Issues,AUTO_HANDLE,Explain Remote Group Session feature available for Premium subscribers.,easy,Social listening feature inquiry.
GOLDEN_153,SpotifyCares,"My family plan owner passed away, how can we transfer the account ownership?",Family & Duo Administration,ESCALATE,Bereavement account transfer requiring sensitivity and documentation.,hard,Bereavement / estate account management.
GOLDEN_154,SpotifyCares,The app keeps saying 'No internet connection' even though all other apps work on Wi-Fi.,Audio & Playback Issues,AUTO_HANDLE,Suggest toggling offline mode in Spotify or restarting the device to reset DNS cache.,medium,App-specific network stack issue.
GOLDEN_155,SpotifyCares,How do I unlink Spotify from my Tinder profile?,Account Access & Login,AUTO_HANDLE,Explain removing Spotify under Tinder profile edit settings or account permissions.,easy,Third-party social integration unlinking.
GOLDEN_156,SpotifyCares,Does Spotify offer student discounts on the Family Plan?,Family & Duo Administration,AUTO_HANDLE,Clarify discounts cannot be stacked; Family plan is already discounted.,easy,Discount policy combination rule.
GOLDEN_157,SpotifyCares,Can I recover a playlist that I deleted 6 months ago?,Playlist & Library Management,AUTO_HANDLE,Explain deleted playlists can be recovered up to 90 days on the account page.,medium,Retention window policy.
GOLDEN_158,SpotifyCares,My daily mix is playing songs from artists I blocked.,Audio & Playback Issues,AUTO_HANDLE,Advise checking block settings and tapping 'Don't play this artist' on the track.,medium,Content filter edge case.
GOLDEN_159,SpotifyCares,I got an email saying my password was reset from an unfamiliar IP address in Germany.,Account Access & Login,ESCALATE,Potential unauthorized account modification; advise locking account.,hard,Security alert notice.
GOLDEN_160,SpotifyCares,How come local files won't sync from my laptop to my iPhone anymore?,Device & Connectivity Integration,AUTO_HANDLE,Ensure both devices are on the exact same Wi-Fi network and firewall allows port.,medium,Local file Wi-Fi sync troubleshooting.
GOLDEN_161,SpotifyCares,I was billed for 12 months in advance when I only selected monthly recurring!,Subscription & Billing,ESCALATE,Disputed upfront annual charge; billing investigation required.,hard,Unexpected long-term charge dispute.
GOLDEN_162,SpotifyCares,Can I listen to explicit podcasts if I am on a child sub-account?,Family & Duo Administration,AUTO_HANDLE,Clarify that parental explicit toggle blocks explicit podcasts.,easy,Parental control policy explanation.
GOLDEN_163,SpotifyCares,Lyrics button is greyed out on almost all of my favorite hip hop tracks.,Catalog & Content Inquiries,AUTO_HANDLE,Explain Musixmatch licensing varies per track and distributor.,easy,Feature availability per song.
GOLDEN_164,SpotifyCares,Where do I find my Spotify URI code to share with my DJ friend?,Playlist & Library Management,AUTO_HANDLE,Hold Alt/Option while clicking three dots > Share > Copy Spotify URI.,easy,Advanced URI power-user feature.
GOLDEN_165,SpotifyCares,The desktop app uses 95% CPU and turns my laptop fans into jet engines.,Audio & Playback Issues,AUTO_HANDLE,Advise disabling hardware acceleration in Spotify settings and updating GPU drivers.,medium,Hardware acceleration high CPU bug.
GOLDEN_166,SpotifyCares,I am a music artist and someone uploaded my copyrighted album under another name.,Catalog & Content Inquiries,ESCALATE,Copyright infringement / DMCA notice; route to legal DMCA team.,hard,Intellectual property infringement claim.
GOLDEN_167,SpotifyCares,How do I set Spotify as my default music provider on my Android phone?,Device & Connectivity Integration,AUTO_HANDLE,Navigate to Android Settings > Apps > Default Apps > Music.,easy,Android default app selection.
GOLDEN_168,SpotifyCares,Can I change the email on my account if I lost access to the old university mailbox?,Account Access & Login,ESCALATE,Lost domain email access; manual identity proof needed to update email.,hard,University domain expiration lock.
GOLDEN_169,SpotifyCares,My downloaded music keeps skipping tracks in airplane mode when offline.,Offline Listening & Downloads,AUTO_HANDLE,Recommend deleting and re-downloading the affected playlist over stable Wi-Fi.,medium,Corrupted offline cache playback.
GOLDEN_170,SpotifyCares,Does Spotify Duo include two separate billing receipts for taxes?,Family & Duo Administration,AUTO_HANDLE,Explain that single consolidated monthly charge is billed to primary manager.,easy,Tax / receipt structure query.
GOLDEN_171,SpotifyCares,I want to block a specific follower from seeing my public playlists.,Playlist & Library Management,AUTO_HANDLE,Go to profile > Followers > click three dots on user > Block.,easy,User blocking privacy setting.
GOLDEN_172,SpotifyCares,"I am an Uber driver, how do I allow riders to play music through the Uber app?",Device & Connectivity Integration,AUTO_HANDLE,Explain Uber and Spotify rider music integration settings.,easy,Third-party partner integration.
GOLDEN_173,SpotifyCares,"Every time I search for an artist, the app says 'Something went wrong, try again later'.",Audio & Playback Issues,AUTO_HANDLE,"Advise logging out, clearing app cache, and toggling airplane mode.",medium,Search index network timeout.
GOLDEN_174,SpotifyCares,My bank told me Spotify keeps attempting transactions after I reported my card stolen.,Subscription & Billing,ESCALATE,Stolen card fraud attempt; escalate to fraud prevention team.,hard,Stolen payment instrument notification.
GOLDEN_175,SpotifyCares,Can I use Spotify on my Garmin running watch without taking my phone?,Device & Connectivity Integration,AUTO_HANDLE,Confirm Garmin Spotify app compatibility with offline sync instructions.,easy,Wearable offline capability.
GOLDEN_176,SpotifyCares,All my songs were replaced by acoustic instrumental covers.,Audio & Playback Issues,AUTO_HANDLE,Check if account was accessed remotely or Autoplay/Radio is active.,medium,Automated radio queue substitution.
GOLDEN_177,SpotifyCares,How do I clear my search history on the mobile app?,Playlist & Library Management,AUTO_HANDLE,Go to Search tab > scroll to bottom of recent searches > Clear Recent Searches.,easy,Search privacy setting.
GOLDEN_178,SpotifyCares,"I have been charged 3 times under different merchant names: Spotify AB, Spotify USA, Spotify UK.",Subscription & Billing,ESCALATE,Multiple international charges; escalate for multi-account billing audit.,hard,Complex cross-border billing issue.
GOLDEN_179,SpotifyCares,Can I transfer ownership of a collaborative playlist to another user?,Playlist & Library Management,AUTO_HANDLE,Explain playlist cloning workaround since owner transfer is not automated.,medium,Playlist metadata ownership.
GOLDEN_180,SpotifyCares,The volume normalization feature makes classical music way too quiet.,Audio & Playback Issues,AUTO_HANDLE,Settings > Playback > toggle off 'Enable Audio Normalization'.,easy,Dynamic range audio setting.
GOLDEN_181,SpotifyCares,I suspect my roommate is using my Spotify because my queue changes when I am at work.,Account Access & Login,AUTO_HANDLE,Recommend clicking 'Sign out everywhere' on web account page and changing password.,medium,Unauthorized concurrent session.
GOLDEN_182,SpotifyCares,Does Spotify offer high school student discounts?,Subscription & Billing,AUTO_HANDLE,Clarify that discount requires enrollment at an accredited college/university.,easy,Eligibility restriction question.
GOLDEN_183,SpotifyCares,Why does the web player require Widevine Media Optimizer plugin?,Audio & Playback Issues,AUTO_HANDLE,Explain DRM digital rights management requirement for streaming licensed audio.,easy,DRM plugin explanation.
GOLDEN_184,SpotifyCares,I received a DM from an account claiming to be Spotify offering a free lifetime gift.,General Inquiries & Feedback,ESCALATE,Phishing / impersonation scam alert; report scam account to trust & safety.,hard,Social engineering / phishing scam.
GOLDEN_185,SpotifyCares,How can I download podcast episodes automatically when new ones release?,Offline Listening & Downloads,AUTO_HANDLE,Go to podcast show page > Settings gear > toggle on 'Auto-download episodes'.,easy,Podcast auto-download configuration.
GOLDEN_186,SpotifyCares,Can I listen to local MP3 audio files on the mobile app?,Playlist & Library Management,AUTO_HANDLE,Enable 'Show local audio files' in mobile app settings and sync from desktop.,medium,Local audio file sync workflow.
GOLDEN_187,SpotifyCares,My Duo plan invite link says 'Invite link has already been used'.,Family & Duo Administration,AUTO_HANDLE,Check active members on account page or generate a new invitation link.,medium,Invite token reuse issue.
GOLDEN_188,SpotifyCares,Why did all my downloaded songs turn into unplayable 0-second tracks?,Offline Listening & Downloads,ESCALATE,Storage corruption / DRM token invalidation bug; escalate for bug tracking.,hard,Severe data corruption failure mode.
GOLDEN_189,SpotifyCares,How do I contact customer support by telephone phone number?,General Inquiries & Feedback,AUTO_HANDLE,"Inform customer Spotify does not provide phone support; support is via chat, Twitter, and email.",easy,Channel policy explanation.
GOLDEN_190,SpotifyCares,I want my personal listening data deleted under California CCPA regulations.,Account Access & Login,AUTO_HANDLE,Provide link to Privacy Settings > Download your data / Request account closure.,medium,Regulatory data privacy request.
GOLDEN_191,SpotifyCares,The music volume drops by half whenever the screen is touched.,Audio & Playback Issues,AUTO_HANDLE,Check accessibility touch feedback audio settings on the smartphone.,medium,OS touch sound ducking conflict.
GOLDEN_192,SpotifyCares,My annual Spotify Premium receipt was sent to my ex-partner's email address.,Subscription & Billing,ESCALATE,Privacy breach / incorrect recipient PII leakage; escalate immediately.,hard,PII disclosure risk escalation.
GOLDEN_193,SpotifyCares,How do I stop Spotify from starting automatically when my Windows PC boots up?,General Inquiries & Feedback,AUTO_HANDLE,Spotify Settings > Advanced > 'Open Spotify automatically after you log into the computer' > select 'No'.,easy,Startup behavior setting.
GOLDEN_194,SpotifyCares,I was double billed on the exact same second by Apple and Spotify directly.,Subscription & Billing,ESCALATE,Dual billing platform conflict requiring billing ledger cross-check.,hard,Dual-merchant billing conflict.
GOLDEN_195,SpotifyCares,Where can I find the sleep timer on the desktop application?,Audio & Playback Issues,AUTO_HANDLE,"Explain that sleep timer is currently native to mobile apps, recommend OS shutdown timer.",easy,Platform feature parity question.
GOLDEN_196,SpotifyCares,My account is stuck in offline mode even after connecting to high speed fiber internet.,Audio & Playback Issues,AUTO_HANDLE,Go to Spotify Settings > Playback > toggle off Offline Mode switch manually.,easy,Manual offline mode toggle lock.
GOLDEN_197,SpotifyCares,How do I report an artist whose music violates hate speech terms of service?,Catalog & Content Inquiries,ESCALATE,Hate speech / ToS violation report; escalate to Trust & Safety content moderation.,hard,Content moderation safety escalation.
GOLDEN_198,SpotifyCares,Can two people listen to different songs simultaneously on the same Premium Individual account?,Subscription & Billing,AUTO_HANDLE,Explain single concurrent stream limit on Individual plan and suggest Duo or Family plan.,easy,Concurrent stream limit policy.
GOLDEN_199,SpotifyCares,I received an error message 'Firewall may be blocking Spotify (Error code: 17)'.,Audio & Playback Issues,AUTO_HANDLE,Add Spotify.exe to Windows Defender Firewall inbound and outbound exceptions list.,medium,Windows Firewall exception troubleshooting.
GOLDEN_200,SpotifyCares,Why does my music volume drastically jump when moving between songs in an album?,Audio & Playback Issues,AUTO_HANDLE,Enable Volume Normalization in settings to equalize loudness levels across tracks.,easy,Volume normalization settings guidance.
